orderid,date,prodnumber,prodname,categoryname,customerid,firstname,lastname,customercity,customerstate,quantity,price,total
1649,2020-12-22,RS702,MICR-23K Robot,Robots,1948,Darby,Hopewell,Washington,District of Columbia,6,899,5394
1650,2020-12-22,TV813,Virtual Reality Basics,Training Videos,40,Kailey,Quartermain,Portsmouth,New Hampshire,3,29.99,89.97
1651,2020-12-22,TV810,Understanding Automation,Training Videos,1747,Ingram,Weddeburn - Scrimgeour,Harrisburg,Pennsylvania,3,44.95,134.85000000000002
1652,2020-12-22,RK603,BYOR-1500,Robot Kits,225,Ben,Yitzhok,Albany,New York,3,189,567
1653,2020-12-22,BP108,Panda Robot Blueprint,Blueprints,49,Renelle,Frangello,Cleveland,Ohio,3,7.99,23.97
1654,2020-12-22,BP106,Hexacopter Drone Blueprint,Blueprints,793,Fonzie,Casero,Peoria,Illinois,3,8.99,26.97
1655,2020-12-23,EB507,Drone Building Essentials,eBooks,910,Hyacinth,Slark,Detroit,Michigan,4,13.99,55.96
1656,2020-12-23,RK605,BYOR-3000,Robot Kits,165,Wells,Grieveson,Torrance,California,3,214,642
1657,2020-12-23,TV805,Industrial 3D Printing,Training Videos,924,Morgan,Paddell,Hartford,Connecticut,4,49,196
1658,2020-12-23,EB501,Articulated Robots,eBooks,423,Em,Blackader,Stockton,California,5,23.99,119.94999999999999
1659,2020-12-23,EB503,Building Your Own Drone,eBooks,1043,Gwyneth,Goodere,Omaha,Nebraska,3,24.99,74.97
1660,2020-12-24,RK606,BYOR-3535,Robot Kits,723,Portia,Kock,Salinas,California,4,225,900
1661,2020-12-24,TV801,Aerial Security,Training Videos,1357,Elisha,Harmstone,College Station,Texas,3,36.99,110.97
1662,2020-12-24,RK603,BYOR-1500,Robot Kits,549,Lurline,Fannin,Fairfax,Virginia,3,189,567
1663,2020-12-24,EB505,Delivery Drones,eBooks,873,Julee,Rozanski,Oklahoma City,Oklahoma,5,14.99,74.95
1664,2020-12-24,EB519,Spherical Robots,eBooks,1918,Lewie,Suche,Cleveland,Ohio,3,16.75,50.25
1665,2020-12-24,EB509,GPS Drones,eBooks,1457,Daveen,Ottey,Aiken,South Carolina,6,19.99,119.94
1666,2020-12-25,TV804,Drone Video Techniques,Training Videos,1883,Hermie,Totterdill,Fort Worth,Texas,5,37.99,189.95000000000002
1667,2020-12-25,EB511,Helicopter Drones,eBooks,1031,Gladys,O'Donnell,Norfolk,Virginia,4,20.95,83.8
1668,2020-12-25,TV811,Understanding Drone Regulations,Training Videos,1265,Hasty,Fontell,Roanoke,Virginia,2,27.5,55
1669,2020-12-25,TV808,Robotic Essentials,Training Videos,217,Angelo,Widdup,Saint Paul,Minnesota,3,34.99,104.97
1670,2020-12-25,TV801,Aerial Security,Training Videos,1228,Renault,Savatier,Pittsburgh,Pennsylvania,6,36.99,221.94
1671,2020-12-25,TV809,Understanding 3D Printing,Training Videos,1273,Karon,Lemasney,Charleston,West Virginia,6,42.99,257.94
1672,2020-12-26,DS305,DTI-84 Drone,Drones,1677,Gelya,Elner,Tucson,Arizona,3,455,1365
1673,2020-12-27,TV809,Understanding 3D Printing,Training Videos,1256,Maud,Physick,Boise,Idaho,4,42.99,171.96
1674,2020-12-27,DS306,DX-145 Drone,Drones,331,Tiena,McGarry,Washington,District of Columbia,5,250,1250
1675,2020-12-28,DK201,BYOD-100,Drone Kits,265,Devlin,Nock,Austin,Texas,2,54,108
1676,2020-12-28,TV806,Mapping with Drones,Training Videos,1399,Marco,Buckmaster,Detroit,Michigan,5,49,245
1677,2020-12-28,EB517,SCARA Robots,eBooks,1113,Arnuad,Kellaway,Lawrenceville,Georgia,5,19.5,97.5
1678,2020-12-28,DS306,DX-145 Drone,Drones,1575,Jessika,Patriche,Washington,District of Columbia,3,250,750
1679,2020-12-28,BP102,Bsquare Robot Blueprint,Blueprints,2086,Jillane,Matuska,Atlanta,Georgia,6,8.99,53.94
1680,2020-12-28,DK202,BYOD-200,Drone Kits,638,Deina,Kainz,Albany,New York,6,58.95,353.70000000000005
1681,2020-12-29,EB517,SCARA Robots,eBooks,2120,Jackie,Johnes,North Port,Florida,2,19.5,39
1682,2020-12-29,TV813,Virtual Reality Basics,Training Videos,746,Cally,Roughley,Gulfport,Mississippi,5,29.99,149.95
1683,2020-12-29,BP110,Sleepy Eye Blueprint,Blueprints,1044,Jeanelle,Rayhill,Baton Rouge,Louisiana,1,11.99,11.99
1684,2020-12-30,TV803,Cloud Computing,Training Videos,1719,Hamid,Dunford,Shawnee Mission,Kansas,1,29.99,29.99
1685,2020-12-30,BP104,Cat Robot Blueprint,Blueprints,473,Cher,Poole,Baltimore,Maryland,3,4.99,14.97
1686,2020-12-30,EB521,Understanding Artificial Intelligence,eBooks,628,Carlie,Pala,Davenport,Iowa,3,19.5,58.5
1687,2020-12-31,RK606,BYOR-3535,Robot Kits,1155,Cobby,Kiessel,Melbourne,Florida,4,225,900
1688,2020-12-31,DS307,MICR-564K Drone,Drones,1433,Aridatha,Revett,Corpus Christi,Texas,3,499,1497
1689,2020-12-31,EB517,SCARA Robots,eBooks,1103,Adolphe,Volker,Idaho Falls,Idaho,3,19.5,58.5
1690,2020-12-31,EB506,Delta Robots,eBooks,269,Willi,Ortiger,Hartford,Connecticut,4,16.99,67.96
1691,2020-12-31,DS304,DTE-QFN20 Drone,Drones,1241,Mattie,Janicki,Lubbock,Texas,2,250,500
1692,2020-12-31,EB509,GPS Drones,eBooks,377,Gherardo,Gerlts,Jamaica,New York,4,19.99,79.96
1693,2020-12-31,BP105,Creature Robot Arms Blueprint,Blueprints,60,Arron,Cutcliffe,Lansing,Michigan,4,12,48
1694,2021-01-01,EB505,Delivery Drones,eBooks,1887,Sauveur,Tunnow,Boston,Massachusetts,4,14.99,59.96
1695,2021-01-01,EB512,Multi Rotor Drones,eBooks,398,Carma,Threlfall,Irvine,California,5,24.95,124.75
1696,2021-01-01,DS302,DC-304 Drone,Drones,1395,Letitia,Geare,Killeen,Texas,2,395,790
1697,2021-01-02,EB509,GPS Drones,eBooks,1715,Maire,Staines,Pasadena,California,2,19.99,39.98
1698,2021-01-02,DS304,DTE-QFN20 Drone,Drones,230,Angelika,Purchon,London,Kentucky,4,250,1000
1699,2021-01-02,RK603,BYOR-1500,Robot Kits,1763,Cletis,Gentreau,Tulsa,Oklahoma,1,189,189
1700,2021-01-02,BP102,Bsquare Robot Blueprint,Blueprints,2097,Bryn,Shillington,El Paso,Texas,3,8.99,26.97
1701,2021-01-03,EB507,Drone Building Essentials,eBooks,1420,Lotti,McCuis,Lawrenceville,Georgia,3,13.99,41.97
1702,2021-01-03,RK605,BYOR-3000,Robot Kits,504,Derrek,Shalloo,Yakima,Washington,4,214,856
1703,2021-01-03,TV802,AI for Educators,Training Videos,141,Waylin,Bernolet,Appleton,Wisconsin,3,49.95,149.85000000000002
1704,2021-01-03,RS706,RWW-75 Robot,Robots,113,Angelico,Mytton,Lawrenceville,Georgia,3,883,2649
1705,2021-01-03,TV809,Understanding 3D Printing,Training Videos,351,Vitoria,Kirkhouse,Boston,Massachusetts,3,42.99,128.97
1706,2021-01-03,DK206,BYOD-400,Drone Kits,1418,Stanleigh,Geater,Kansas City,Missouri,4,119,476
1707,2021-01-04,EB504,Cartesian Robots,eBooks,1210,Serge,Shafto,Toledo,Ohio,3,12.99,38.97
1708,2021-01-04,EB501,Articulated Robots,eBooks,892,Ned,Valentinuzzi,Toledo,Ohio,1,23.99,23.99
1709,2021-01-04,DS306,DX-145 Drone,Drones,1808,Gilles,Okeshott,Norfolk,Virginia,2,250,500
1710,2021-01-04,EB502,Building Your First Robot,eBooks,1696,Rahel,Georgelin,Brooklyn,New York,5,24.95,124.75
1711,2021-01-04,DK208,BYOD-500,Drone Kits,1387,Em,Heatherington,Omaha,Nebraska,2,167,334
1712,2021-01-04,DS307,MICR-564K Drone,Drones,1625,Delila,Dabinett,Indianapolis,Indiana,2,499,998
1713,2021-01-04,DK205,BYOD-350,Drone Kits,1246,Tarrance,Faye,Jersey City,New Jersey,4,89.95,359.8
1714,2021-01-04,TV806,Mapping with Drones,Training Videos,1566,Angelita,Bernaert,Albuquerque,New Mexico,5,49,245
1715,2021-01-04,EB511,Helicopter Drones,eBooks,1509,Andromache,Ruvel,Sparks,Nevada,5,20.95,104.75
1716,2021-01-05,EB508,Fixed Wing Drones,eBooks,252,Aurelie,McGeorge,Joliet,Illinois,3,15.5,46.5
1717,2021-01-05,TV812,Understanding Raspberry PI,Training Videos,1902,Corey,McIlwreath,Salt Lake City,Utah,3,28.99,86.97
1718,2021-01-05,TV801,Aerial Security,Training Videos,1752,Eada,Andrejevic,Birmingham,Alabama,2,36.99,73.98
1719,2021-01-05,EB519,Spherical Robots,eBooks,1601,Joshia,Kinvan,Harrisburg,Pennsylvania,3,16.75,50.25
1720,2021-01-06,BP102,Bsquare Robot Blueprint,Blueprints,2061,Berri,Andrick,Sterling,Virginia,2,8.99,17.98
1721,2021-01-06,EB508,Fixed Wing Drones,eBooks,24,Worden,Gobeau,Reno,Nevada,4,15.5,62
1722,2021-01-06,DK206,BYOD-400,Drone Kits,1910,Keelby,Bonnet,Los Angeles,California,2,119,238
1723,2021-01-07,TV804,Drone Video Techniques,Training Videos,1175,Johannah,Jackways,Jamaica,New York,2,37.99,75.98
1724,2021-01-07,EB508,Fixed Wing Drones,eBooks,1638,Alphonso,Grzelewski,Tucson,Arizona,3,15.5,46.5
1725,2021-01-07,RK605,BYOR-3000,Robot Kits,818,Reinwald,Alekseev,Olympia,Washington,4,214,856
1726,2021-01-08,DS305,DTI-84 Drone,Drones,719,Jobye,Hambelton,Riverside,California,3,455,1365
1727,2021-01-08,DS304,DTE-QFN20 Drone,Drones,1559,Gunner,Malbon,Louisville,Kentucky,5,250,1250
1728,2021-01-09,DS304,DTE-QFN20 Drone,Drones,1219,Symon,Burmaster,Beaufort,South Carolina,4,250,1000
1729,2021-01-09,EB513,Photograph Drones,eBooks,1676,Alec,Trenfield,Boston,Massachusetts,1,14.99,14.99
1730,2021-01-09,EB512,Multi Rotor Drones,eBooks,232,Tisha,Benezeit,Spokane,Washington,5,24.95,124.75
1731,2021-01-09,DS305,DTI-84 Drone,Drones,1515,Halimeda,Lemmanbie,Phoenix,Arizona,4,455,1820
1732,2021-01-10,DS306,DX-145 Drone,Drones,1064,Hadleigh,Skyner,Tallahassee,Florida,2,250,500
1733,2021-01-11,RS702,MICR-23K Robot,Robots,1208,Lemmy,Kubatsch,Fort Smith,Arkansas,6,899,5394
1734,2021-01-11,EB509,GPS Drones,eBooks,820,Charlena,Mayworth,Juneau,Alaska,4,19.99,79.96
1735,2021-01-11,RK602,BYOR-1000,Robot Kits,2021,Ivor,McShirrie,Hot Springs National Park,Arkansas,3,189,567
1736,2021-01-11,EB513,Photograph Drones,eBooks,1518,Conrade,Allder,Springfield,Illinois,4,14.99,59.96
1737,2021-01-11,EB508,Fixed Wing Drones,eBooks,1315,Christian,Kluger,San Diego,California,3,15.5,46.5
1738,2021-01-11,TV803,Cloud Computing,Training Videos,762,Bob,Chattington,Lancaster,California,3,29.99,89.97
1739,2021-01-11,DS303,DTD-7000 Drone,Drones,2094,Roi,Marchand,Greeley,Colorado,6,450,2700
1740,2021-01-12,TV809,Understanding 3D Printing,Training Videos,1037,Arlinda,Hegge,Columbus,Ohio,4,42.99,171.96
1741,2021-01-12,RS702,MICR-23K Robot,Robots,1939,Debby,McCourtie,San Rafael,California,5,899,4495
1742,2021-01-12,TV806,Mapping with Drones,Training Videos,263,Mariquilla,Stovin,Houston,Texas,4,49,196
1743,2021-01-12,RS707,RXW-9807 Robot,Robots,1796,Judah,Redwin,Columbia,Missouri,3,599,1797
1744,2021-01-12,RK606,BYOR-3535,Robot Kits,700,Roobbie,Dermot,Washington,District of Columbia,5,225,1125
1745,2021-01-13,BP107,Ladybug Robot Blueprint,Blueprints,594,Orelia,Diter,Tallahassee,Florida,5,12,60
1746,2021-01-13,TV808,Robotic Essentials,Training Videos,831,Merilee,Denis,Montgomery,Alabama,5,34.99,174.95000000000002
1747,2021-01-13,BP102,Bsquare Robot Blueprint,Blueprints,411,Torrin,West,Mobile,Alabama,3,8.99,26.97
1748,2021-01-13,BP106,Hexacopter Drone Blueprint,Blueprints,1534,Doro,Elnor,Peoria,Illinois,3,8.99,26.97
1749,2021-01-13,RK607,BYOR-4005,Robot Kits,322,Cristian,Barker,Saint Petersburg,Florida,5,245,1225
1750,2021-01-13,EB508,Fixed Wing Drones,eBooks,1005,Pearl,Rollason,Lancaster,California,4,15.5,62
1751,2021-01-13,EB506,Delta Robots,eBooks,291,Kahaleel,Prium,Norfolk,Virginia,3,16.99,50.97
1752,2021-01-13,BP110,Sleepy Eye Blueprint,Blueprints,2081,Brigham,Lampkin,San Diego,California,5,11.99,59.95
1753,2021-01-14,EB513,Photograph Drones,eBooks,2108,Morganica,Abelwhite,Vero Beach,Florida,6,14.99,89.94
1754,2021-01-14,EB501,Articulated Robots,eBooks,1606,Sybyl,Bulled,Pasadena,California,4,23.99,95.96
1755,2021-01-14,BP101,All Eyes Drone Blueprint,Blueprints,1564,Brig,Rapper,Buffalo,New York,2,9.99,19.98
1756,2021-01-14,BP101,All Eyes Drone Blueprint,Blueprints,619,Sharyl,Brando,San Diego,California,2,9.99,19.98
1757,2021-01-14,DS302,DC-304 Drone,Drones,2058,Iorgos,Dureden,Pittsburgh,Pennsylvania,2,395,790
1758,2021-01-15,BP101,All Eyes Drone Blueprint,Blueprints,923,Free,Kolodziejski,Chicago,Illinois,1,9.99,9.99
1759,2021-01-15,TV802,AI for Educators,Training Videos,523,Janaye,Liddle,Lexington,Kentucky,4,49.95,199.8
1760,2021-01-15,RK604,BYOR-2640S,Robot Kits,1548,Jayson,By,Albany,New York,5,189,945
1761,2021-01-15,DK201,BYOD-100,Drone Kits,2028,Alvie,Gawthrope,Jacksonville,Florida,5,54,270
1762,2021-01-15,BP104,Cat Robot Blueprint,Blueprints,1342,Far,Pow,Columbus,Mississippi,5,4.99,24.950000000000003
1763,2021-01-16,EB502,Building Your First Robot,eBooks,1902,Corey,McIlwreath,Salt Lake City,Utah,4,24.95,99.8
1764,2021-01-16,EB514,Polar Robots,eBooks,1052,Row,Hebner,Irvine,California,2,23.99,47.98
1765,2021-01-16,TV804,Drone Video Techniques,Training Videos,139,Ebony,Roelofs,Indianapolis,Indiana,1,37.99,37.99
1766,2021-01-16,BP106,Hexacopter Drone Blueprint,Blueprints,463,Idell,Dyson,Plano,Texas,4,8.99,35.96
1767,2021-01-16,DK203,BYOD-220,Drone Kits,2045,Pavlov,Jermey,Santa Fe,New Mexico,1,69,69
1768,2021-01-16,RS707,RXW-9807 Robot,Robots,521,Quint,Rozalski,Morgantown,West Virginia,1,599,599
1769,2021-01-16,DK204,BYOD-300,Drone Kits,758,Fraser,Wardroper,Riverside,California,6,89,534
1770,2021-01-17,BP110,Sleepy Eye Blueprint,Blueprints,1604,Dulsea,Hothersall,Oklahoma City,Oklahoma,1,11.99,11.99
1771,2021-01-17,TV801,Aerial Security,Training Videos,865,Carlie,Stedman,Sacramento,California,5,36.99,184.95000000000002
1772,2021-01-17,EB506,Delta Robots,eBooks,2104,Earlie,Mergue,Greensboro,North Carolina,6,16.99,101.94
1773,2021-01-17,RK605,BYOR-3000,Robot Kits,213,Isidor,Asman,Pasadena,California,3,214,642
1774,2021-01-17,TV813,Virtual Reality Basics,Training Videos,1860,Lucien,Wakeford,Greenville,South Carolina,3,29.99,89.97
1775,2021-01-17,RS705,RQTE-554 Robot,Robots,1884,Astrix,Fanning,Arlington,Texas,3,684,2052
1776,2021-01-18,RS704,RLK-9920 Robot,Robots,2047,Eddie,Kennaway,Miami,Florida,3,699,2097
1777,2021-01-18,DS301,DA-SA702 Drone,Drones,16,Annelise,Genders,Silver Spring,Maryland,2,399,798
1778,2021-01-18,TV813,Virtual Reality Basics,Training Videos,1407,Kati,Genery,Louisville,Kentucky,2,29.99,59.98
1779,2021-01-18,RK607,BYOR-4005,Robot Kits,402,Kennith,McCulley,Jackson,Mississippi,2,245,490
1780,2021-01-18,DS307,MICR-564K Drone,Drones,1917,Alis,Merlin,Tucson,Arizona,2,499,998
1781,2021-01-19,DK202,BYOD-200,Drone Kits,234,Kaspar,Tipple,Detroit,Michigan,4,58.95,235.8
1782,2021-01-19,DS304,DTE-QFN20 Drone,Drones,160,Delcine,Giffard,Syracuse,New York,5,250,1250
1783,2021-01-19,TV807,Open Source Code,Training Videos,1425,Amerigo,Reck,San Diego,California,2,32.95,65.9
1784,2021-01-19,DK205,BYOD-350,Drone Kits,1716,Vernon,de Almeida,Philadelphia,Pennsylvania,6,89.95,539.7
1785,2021-01-20,TV811,Understanding Drone Regulations,Training Videos,1859,Bastien,Di Boldi,San Bernardino,California,3,27.5,82.5
1786,2021-01-21,TV807,Open Source Code,Training Videos,708,Worth,Fideler,Meridian,Mississippi,1,32.95,32.95
1787,2021-01-21,EB519,Spherical Robots,eBooks,411,Torrin,West,Mobile,Alabama,1,16.75,16.75
1788,2021-01-21,TV802,AI for Educators,Training Videos,35,Izaak,Belfelt,Chicago,Illinois,6,49.95,299.70000000000005
1789,2021-01-21,EB505,Delivery Drones,eBooks,98,Anson,Anfusso,Cedar Rapids,Iowa,3,14.99,44.97
1790,2021-01-22,EB507,Drone Building Essentials,eBooks,1821,Cristabel,Staig,Manchester,New Hampshire,4,13.99,55.96
1791,2021-01-22,TV806,Mapping with Drones,Training Videos,401,Kiri,MacTeague,Houston,Texas,3,49,147
1792,2021-01-22,DK206,BYOD-400,Drone Kits,154,Frank,Martini,Chicago,Illinois,4,119,476
1793,2021-01-22,EB521,Understanding Artificial Intelligence,eBooks,1767,Chick,McGrath,Baton Rouge,Louisiana,6,19.5,117
1794,2021-01-22,EB512,Multi Rotor Drones,eBooks,320,Deck,Riccardini,Decatur,Illinois,3,24.95,74.85
1795,2021-01-22,EB501,Articulated Robots,eBooks,1672,Giusto,Dykes,Portsmouth,New Hampshire,5,23.99,119.94999999999999
1796,2021-01-22,RS705,RQTE-554 Robot,Robots,1809,Saundra,Ambler,Pittsburgh,Pennsylvania,2,684,1368
1797,2021-01-22,DS302,DC-304 Drone,Drones,1489,Nixie,Corday,Philadelphia,Pennsylvania,4,395,1580
1798,2021-01-23,RK604,BYOR-2640S,Robot Kits,1339,Daven,Tondeur,Longview,Texas,4,189,756
1799,2021-01-23,RS707,RXW-9807 Robot,Robots,1512,Benjy,Epp,Bradenton,Florida,4,599,2396
1800,2021-01-23,EB514,Polar Robots,eBooks,344,Roselia,Cullip,Seattle,Washington,3,23.99,71.97
1801,2021-01-23,EB503,Building Your Own Drone,eBooks,42,Adrianne,Jumonet,Atlanta,Georgia,4,24.99,99.96
1802,2021-01-24,TV810,Understanding Automation,Training Videos,300,Katherine,Icom,Troy,Michigan,2,44.95,89.9
1803,2021-01-24,DK204,BYOD-300,Drone Kits,1955,Gerianna,Bourhill,Houston,Texas,2,89,178
1804,2021-01-24,DS305,DTI-84 Drone,Drones,312,Timmy,Toulch,Phoenix,Arizona,4,455,1820
1805,2021-01-24,TV812,Understanding Raspberry PI,Training Videos,766,Tibold,Gumby,Trenton,New Jersey,4,28.99,115.96
1806,2021-01-24,DS301,DA-SA702 Drone,Drones,502,Josepha,Seth,Houston,Texas,2,399,798
1807,2021-01-24,DS302,DC-304 Drone,Drones,499,Bert,Girardi,Bonita Springs,Florida,5,395,1975
1808,2021-01-24,RK605,BYOR-3000,Robot Kits,346,Daria,Dodge,San Diego,California,4,214,856
1809,2021-01-24,DK202,BYOD-200,Drone Kits,535,Carie,Lowth,New York City,New York,5,58.95,294.75
1810,2021-01-24,EB513,Photograph Drones,eBooks,607,Louisette,Ditch,Beaufort,South Carolina,4,14.99,59.96
1811,2021-01-24,DK204,BYOD-300,Drone Kits,537,Nissa,Lyptrade,El Paso,Texas,2,89,178
1812,2021-01-24,EB501,Articulated Robots,eBooks,656,Haroun,Donaldson,Springfield,Illinois,5,23.99,119.94999999999999
1813,2021-01-24,BP108,Panda Robot Blueprint,Blueprints,1760,Lonnie,McComiskie,Honolulu,Hawaii,2,7.99,15.98
1814,2021-01-24,TV803,Cloud Computing,Training Videos,1054,Ave,Coggeshall,Tallahassee,Florida,2,29.99,59.98
1815,2021-01-25,EB518,Single Rotor Drones,eBooks,1360,Forrest,Lowdeane,Birmingham,Alabama,1,14.99,14.99
1816,2021-01-25,EB508,Fixed Wing Drones,eBooks,426,Christen,Loins,Oklahoma City,Oklahoma,6,15.5,93
1817,2021-01-25,DK208,BYOD-500,Drone Kits,950,Winfield,Uren,Dayton,Ohio,2,167,334
1818,2021-01-25,DK205,BYOD-350,Drone Kits,1258,Diahann,Hoult,Los Angeles,California,2,89.95,179.9
1819,2021-01-25,BP109,QuadroCopter Blueprint,Blueprints,2029,Nikolai,Hukin,Ventura,California,3,10.99,32.97
1820,2021-01-26,EB507,Drone Building Essentials,eBooks,854,Donovan,Linzee,Tacoma,Washington,2,13.99,27.98
1821,2021-01-26,TV812,Understanding Raspberry PI,Training Videos,291,Kahaleel,Prium,Norfolk,Virginia,3,28.99,86.97
1822,2021-01-26,TV808,Robotic Essentials,Training Videos,1349,Robin,Thaxter,Lees Summit,Missouri,3,34.99,104.97
1823,2021-01-26,RK604,BYOR-2640S,Robot Kits,60,Arron,Cutcliffe,Lansing,Michigan,3,189,567
1824,2021-01-26,DK207,BYOD-400S,Drone Kits,1426,Tami,Antonopoulos,New Orleans,Louisiana,2,129.95,259.9
1825,2021-01-27,DK207,BYOD-400S,Drone Kits,1462,Brandea,Adamsson,Louisville,Kentucky,3,129.95,389.84999999999997
1826,2021-01-27,DK204,BYOD-300,Drone Kits,1483,Weber,Tippell,Los Angeles,California,2,89,178
1827,2021-01-27,RS704,RLK-9920 Robot,Robots,1537,Chauncey,Lawful,Austin,Texas,4,699,2796
1828,2021-01-27,RS707,RXW-9807 Robot,Robots,1241,Mattie,Janicki,Lubbock,Texas,5,599,2995
1829,2021-01-28,TV810,Understanding Automation,Training Videos,1885,Kelley,De Matteis,Cincinnati,Ohio,4,44.95,179.8
1830,2021-01-28,TV804,Drone Video Techniques,Training Videos,1321,Donalt,Tilbey,San Francisco,California,4,37.99,151.96
1831,2021-01-29,DS305,DTI-84 Drone,Drones,1578,Marleah,Suggett,Cincinnati,Ohio,3,455,1365
1832,2021-01-29,RK607,BYOR-4005,Robot Kits,1525,Willetta,Ellingham,Buffalo,New York,3,245,735
1833,2021-01-29,BP109,QuadroCopter Blueprint,Blueprints,827,Krysta,Djurdjevic,Mobile,Alabama,2,10.99,21.98
1834,2021-01-29,DK209,BYOD-550,Drone Kits,1697,Zarah,Stanes,Des Moines,Iowa,6,179,1074
1835,2021-01-29,DS302,DC-304 Drone,Drones,1791,Stephine,Broadstock,Santa Monica,California,4,395,1580
1836,2021-01-29,EB501,Articulated Robots,eBooks,1135,Dionne,Parysowna,Lexington,Kentucky,2,23.99,47.98
1837,2021-01-29,BP101,All Eyes Drone Blueprint,Blueprints,446,Jaquenetta,Ginley,Dayton,Ohio,5,9.99,49.95
1838,2021-01-29,EB501,Articulated Robots,eBooks,576,Debor,Agronski,Clearwater,Florida,6,23.99,143.94
1839,2021-01-30,DK209,BYOD-550,Drone Kits,385,Cathlene,Bayless,Charleston,West Virginia,2,179,358
1840,2021-01-30,EB517,SCARA Robots,eBooks,1360,Forrest,Lowdeane,Birmingham,Alabama,6,19.5,117
1841,2021-01-30,DK202,BYOD-200,Drone Kits,504,Derrek,Shalloo,Yakima,Washington,4,58.95,235.8
1842,2021-01-30,EB507,Drone Building Essentials,eBooks,347,Brady,Medeway,San Francisco,California,4,13.99,55.96
1843,2021-01-30,RK602,BYOR-1000,Robot Kits,1728,Trevar,Arch,Peoria,Illinois,2,189,378
1844,2021-01-31,TV808,Robotic Essentials,Training Videos,284,Rebbecca,Borland,Houston,Texas,6,34.99,209.94
1845,2021-01-31,EB503,Building Your Own Drone,eBooks,1585,Cello,Gillion,Houston,Texas,4,24.99,99.96
1846,2021-01-31,EB518,Single Rotor Drones,eBooks,617,Dennet,Burniston,Evansville,Indiana,3,14.99,44.97
1847,2021-01-31,EB504,Cartesian Robots,eBooks,579,Gabi,Haet,Seattle,Washington,4,12.99,51.96
1848,2021-01-31,TV804,Drone Video Techniques,Training Videos,1873,Courtnay,Cassell,Cambridge,Massachusetts,4,37.99,151.96
1849,2021-01-31,TV805,Industrial 3D Printing,Training Videos,1791,Stephine,Broadstock,Santa Monica,California,5,49,245
1850,2021-01-31,EB504,Cartesian Robots,eBooks,1215,Ola,Punch,Alexandria,Virginia,1,12.99,12.99
1851,2021-02-01,RK602,BYOR-1000,Robot Kits,1349,Robin,Thaxter,Lees Summit,Missouri,3,189,567
1852,2021-02-01,DK202,BYOD-200,Drone Kits,1747,Ingram,Weddeburn - Scrimgeour,Harrisburg,Pennsylvania,3,58.95,176.85000000000002
1853,2021-02-01,DK204,BYOD-300,Drone Kits,358,Ethelred,Cleworth,Columbus,Ohio,3,89,267
1854,2021-02-01,BP106,Hexacopter Drone Blueprint,Blueprints,86,Arnold,Sommersett,Reston,Virginia,4,8.99,35.96
1855,2021-02-02,EB506,Delta Robots,eBooks,1590,Christophe,Meletti,Waterloo,Iowa,3,16.99,50.97
1856,2021-02-02,BP104,Cat Robot Blueprint,Blueprints,767,Madlin,Joberne,Houston,Texas,2,4.99,9.98
1857,2021-02-02,EB509,GPS Drones,eBooks,1671,Jorrie,McManamen,San Antonio,Texas,5,19.99,99.94999999999999
1858,2021-02-02,DK203,BYOD-220,Drone Kits,1543,Ada,Byrth,Corpus Christi,Texas,5,69,345
1859,2021-02-03,EB520,Understanding Arduino,eBooks,1551,Trip,Trowel,Hagerstown,Maryland,2,17.5,35
1860,2021-02-03,EB503,Building Your Own Drone,eBooks,613,Cristen,Elles,San Diego,California,4,24.99,99.96
1861,2021-02-04,RK607,BYOR-4005,Robot Kits,967,Loria,Breukelman,Evansville,Indiana,3,245,735
1862,2021-02-04,RS705,RQTE-554 Robot,Robots,683,Cornelle,Van der Hoeven,El Paso,Texas,4,684,2736
1863,2021-02-04,RS703,RCB-889 Robot,Robots,265,Devlin,Nock,Austin,Texas,5,549,2745
1864,2021-02-05,BP102,Bsquare Robot Blueprint,Blueprints,1617,Natalya,Uppett,Boston,Massachusetts,3,8.99,26.97
1865,2021-02-05,DS302,DC-304 Drone,Drones,1663,Stephenie,O' Liddy,Phoenix,Arizona,6,395,2370
1866,2021-02-05,DK208,BYOD-500,Drone Kits,387,Nissie,McSperron,Los Angeles,California,5,167,835
1867,2021-02-05,DS302,DC-304 Drone,Drones,398,Carma,Threlfall,Irvine,California,4,395,1580
1868,2021-02-06,EB506,Delta Robots,eBooks,601,Winnie,Mizzen,Youngstown,Ohio,2,16.99,33.98
1869,2021-02-06,DK208,BYOD-500,Drone Kits,2024,August,Cumberpatch,Toledo,Ohio,3,167,501
1870,2021-02-06,EB512,Multi Rotor Drones,eBooks,127,Riccardo,McMurtyr,Albany,New York,3,24.95,74.85
1871,2021-02-06,EB501,Articulated Robots,eBooks,170,Tyrone,Burnhams,Baltimore,Maryland,2,23.99,47.98
1872,2021-02-06,TV803,Cloud Computing,Training Videos,361,Morten,Aspray,Minneapolis,Minnesota,2,29.99,59.98
1873,2021-02-06,RS702,MICR-23K Robot,Robots,1317,Ingaberg,MacKeogh,Washington,District of Columbia,4,899,3596
1874,2021-02-07,DK207,BYOD-400S,Drone Kits,1993,Georgine,Mander,Boise,Idaho,4,129.95,519.8
1875,2021-02-07,EB517,SCARA Robots,eBooks,782,Ilise,Wasiela,Houston,Texas,3,19.5,58.5
1876,2021-02-07,RK603,BYOR-1500,Robot Kits,987,Etti,Belamy,Denver,Colorado,3,189,567
